#abgabe.csv
#Raphael
#Harm
#12527184
group,number,n,k,objectiveFunctionValue,duration,graphName
objcnfval,73,53,3,55,56400,apollonian_50.gr
objcnfval,74,53,4,38,50600,apollonian_50.gr
objcnfval,75,58,2,81,62800,apollonian_55.gr
objcnfval,76,58,3,70,60500,apollonian_55.gr
objcnfval,77,58,4,38,51400,apollonian_55.gr
objcnfval,78,63,2,98,58700,apollonian_60.gr
objcnfval,79,63,3,45,61100,apollonian_60.gr
objcnfval,80,63,4,58,58600,apollonian_60.gr
objcnfval,81,68,2,91,92300,apollonian_65.gr
objcnfval,82,68,3,59,61300,apollonian_65.gr
objcnfval,83,68,4,49,91400,apollonian_65.gr
objcnfval,84,100,2,631,400000,make_ravasz_barabasi_25_2.gr
objcnfval,85,100,3,413,641600,make_ravasz_barabasi_25_2.gr
objcnfval,86,100,4,334,317200,make_ravasz_barabasi_25_2.gr
objcnfval,87,120,2,991,343300,make_ravasz_barabasi_30_2.gr
objcnfval,88,120,3,638,318200,make_ravasz_barabasi_30_2.gr
objcnfval,89,120,4,457,382100,make_ravasz_barabasi_30_2.gr
objcnfval,90,200,2,1363,1145600,make_ravasz_barabasi_25_3.gr
objcnfval,91,200,3,885,865400,make_ravasz_barabasi_25_3.gr
objcnfval,92,200,4,690,790900,make_ravasz_barabasi_25_3.gr
objcnfval,93,240,2,1898,801300,make_ravasz_barabasi_30_3.gr
objcnfval,94,240,3,1252,682100,make_ravasz_barabasi_30_3.gr
objcnfval,95,240,4,968,658900,make_ravasz_barabasi_30_3.gr
greedy1,96,12,2,9,3955300,barbell_5_2.gr
greedy1,97,12,3,4,112000,barbell_5_2.gr
greedy1,98,12,4,2,58100,barbell_5_2.gr
greedy1,99,14,2,13,87400,barbell_6_2.gr
greedy1,100,14,3,6,107300,barbell_6_2.gr
greedy1,101,14,4,4,94800,barbell_6_2.gr
greedy1,102,13,2,8,114300,barbell_5_3.gr
greedy1,103,13,3,4,81500,barbell_5_3.gr
greedy1,104,13,4,2,79200,barbell_5_3.gr
greedy1,105,15,2,12,138600,barbell_6_3.gr
greedy1,106,15,3,6,110900,barbell_6_3.gr
greedy1,107,15,4,4,143400,barbell_6_3.gr
greedy1,108,9,2,8,49700,windmill_5_2.gr
greedy1,109,9,3,4,49700,windmill_5_2.gr
greedy1,110,9,4,2,29900,windmill_5_2.gr
greedy1,111,11,2,12,88000,windmill_6_2.gr
greedy1,112,11,3,6,38700,windmill_6_2.gr
greedy1,113,11,4,4,51700,windmill_6_2.gr
greedy1,114,13,2,12,73800,windmill_5_3.gr
greedy1,115,13,3,6,50700,windmill_5_3.gr
greedy1,116,13,4,3,58800,windmill_5_3.gr
greedy1,117,16,2,18,62700,windmill_6_3.gr
greedy1,118,16,3,9,76000,windmill_6_3.gr
greedy1,119,16,4,6,106000,windmill_6_3.gr
greedy1,120,5,2,3,57400,apollonian_2.gr
greedy1,121,5,3,2,117200,apollonian_2.gr
greedy1,122,5,4,0,22900,apollonian_2.gr
greedy1,123,6,2,4,28900,apollonian_3.gr
greedy1,124,6,3,2,21200,apollonian_3.gr
greedy1,125,6,4,0,27800,apollonian_3.gr
greedy1,126,7,2,5,26000,apollonian_4.gr
greedy1,127,7,3,2,43300,apollonian_4.gr
greedy1,128,7,4,0,34700,apollonian_4.gr
greedy1,129,8,2,6,34700,apollonian_5.gr
greedy1,130,8,3,3,24700,apollonian_5.gr
greedy1,131,8,4,0,26000,apollonian_5.gr
greedy1,132,20,2,25,55400,make_ravasz_barabasi_5_2.gr
greedy1,133,20,3,13,49000,make_ravasz_barabasi_5_2.gr
greedy1,134,20,4,8,45600,make_ravasz_barabasi_5_2.gr
greedy1,135,24,2,36,83700,make_ravasz_barabasi_6_2.gr
greedy1,136,24,3,20,88000,make_ravasz_barabasi_6_2.gr
greedy1,137,24,4,12,70700,make_ravasz_barabasi_6_2.gr
greedy1,138,40,2,59,210400,make_ravasz_barabasi_5_3.gr
greedy1,139,40,3,33,141600,make_ravasz_barabasi_5_3.gr
greedy1,140,40,4,20,155700,make_ravasz_barabasi_5_3.gr
greedy1,141,48,2,83,200500,make_ravasz_barabasi_6_3.gr
greedy1,142,48,3,48,122000,make_ravasz_barabasi_6_3.gr
greedy1,143,48,4,29,164300,make_ravasz_barabasi_6_3.gr
greedy1,144,52,2,289,276100,barbell_25_2.gr
greedy1,145,52,3,184,280500,barbell_25_2.gr
greedy1,146,52,4,132,279800,barbell_25_2.gr
greedy1,147,62,2,421,321500,barbell_30_2.gr
greedy1,148,62,3,270,223400,barbell_30_2.gr
greedy1,149,62,4,196,237400,barbell_30_2.gr
greedy1,150,53,2,288,212800,barbell_25_3.gr
greedy1,151,53,3,184,158400,barbell_25_3.gr
greedy1,152,53,4,132,160800,barbell_25_3.gr
greedy1,153,63,2,420,291700,barbell_30_3.gr
greedy1,154,63,3,270,215400,barbell_30_3.gr
greedy1,155,63,4,196,201700,barbell_30_3.gr
greedy1,156,49,2,288,169700,windmill_25_2.gr
greedy1,157,49,3,184,146900,windmill_25_2.gr
greedy1,158,49,4,132,133200,windmill_25_2.gr
greedy1,159,59,2,420,221100,windmill_30_2.gr
greedy1,160,59,3,270,246200,windmill_30_2.gr
greedy1,161,59,4,196,235100,windmill_30_2.gr
greedy1,162,73,2,432,287200,windmill_25_3.gr
greedy1,163,73,3,276,274000,windmill_25_3.gr
greedy1,164,73,4,198,241000,windmill_25_3.gr
greedy1,165,88,2,630,441400,windmill_30_3.gr
greedy1,166,88,3,405,294800,windmill_30_3.gr
greedy1,167,88,4,294,316400,windmill_30_3.gr
greedy1,168,53,2,51,88800,apollonian_50.gr
greedy1,169,53,3,25,98000,apollonian_50.gr
greedy1,170,53,4,0,116400,apollonian_50.gr
greedy1,171,58,2,56,106800,apollonian_55.gr
greedy1,172,58,3,28,90000,apollonian_55.gr
greedy1,173,58,4,0,93300,apollonian_55.gr
greedy1,174,63,2,61,104900,apollonian_60.gr
greedy1,175,63,3,30,98500,apollonian_60.gr
greedy1,176,63,4,0,93700,apollonian_60.gr
greedy1,177,68,2,66,100300,apollonian_65.gr
greedy1,178,68,3,31,100500,apollonian_65.gr
greedy1,179,68,4,0,95900,apollonian_65.gr
greedy1,180,100,2,625,377300,make_ravasz_barabasi_25_2.gr
greedy1,181,100,3,400,312900,make_ravasz_barabasi_25_2.gr
greedy1,182,100,4,288,307700,make_ravasz_barabasi_25_2.gr
greedy1,183,120,2,900,802300,make_ravasz_barabasi_30_2.gr
greedy1,184,120,3,580,510800,make_ravasz_barabasi_30_2.gr
greedy1,185,120,4,420,478900,make_ravasz_barabasi_30_2.gr
greedy1,186,200,2,1299,954300,make_ravasz_barabasi_25_3.gr
greedy1,187,200,3,833,743100,make_ravasz_barabasi_25_3.gr
greedy1,188,200,4,600,545600,make_ravasz_barabasi_25_3.gr
greedy1,189,240,2,1859,1450500,make_ravasz_barabasi_30_3.gr
greedy1,190,240,3,1200,794300,make_ravasz_barabasi_30_3.gr
greedy1,191,240,4,869,688400,make_ravasz_barabasi_30_3.gr
greedy2,192,12,2,13,475100,barbell_5_2.gr
greedy2,193,12,3,6,44300,barbell_5_2.gr
greedy2,194,12,4,2,62300,barbell_5_2.gr
greedy2,195,14,2,21,51500,barbell_6_2.gr
greedy2,196,14,3,12,43500,barbell_6_2.gr
greedy2,197,14,4,6,40800,barbell_6_2.gr
greedy2,198,13,2,12,38500,barbell_5_3.gr
greedy2,199,13,3,6,26900,barbell_5_3.gr
greedy2,200,13,4,2,40800,barbell_5_3.gr
greedy2,201,15,2,20,45900,barbell_6_3.gr
greedy2,202,15,3,12,36000,barbell_6_3.gr
greedy2,203,15,4,6,41500,barbell_6_3.gr
greedy2,204,9,2,12,47200,windmill_5_2.gr
greedy2,205,9,3,6,21900,windmill_5_2.gr
greedy2,206,9,4,2,21000,windmill_5_2.gr
greedy2,207,11,2,20,38000,windmill_6_2.gr
greedy2,208,11,3,12,42600,windmill_6_2.gr
greedy2,209,11,4,6,27600,windmill_6_2.gr
greedy2,210,13,2,18,27800,windmill_5_3.gr
greedy2,211,13,3,9,42000,windmill_5_3.gr
greedy2,212,13,4,3,28000,windmill_5_3.gr
greedy2,213,16,2,30,27400,windmill_6_3.gr
greedy2,214,16,3,18,23900,windmill_6_3.gr
greedy2,215,16,4,9,24600,windmill_6_3.gr
greedy2,216,5,2,5,15200,apollonian_2.gr
greedy2,217,5,3,2,14100,apollonian_2.gr
greedy2,218,5,4,0,27400,apollonian_2.gr
greedy2,219,6,2,7,27800,apollonian_3.gr
greedy2,220,6,3,2,17800,apollonian_3.gr
greedy2,221,6,4,0,26700,apollonian_3.gr
greedy2,222,7,2,7,33400,apollonian_4.gr
greedy2,223,7,3,2,22800,apollonian_4.gr
greedy2,224,7,4,0,24400,apollonian_4.gr
greedy2,225,8,2,9,56900,apollonian_5.gr
greedy2,226,8,3,3,31400,apollonian_5.gr
greedy2,227,8,4,0,31000,apollonian_5.gr
greedy2,228,20,2,41,64000,make_ravasz_barabasi_5_2.gr
greedy2,229,20,3,25,48300,make_ravasz_barabasi_5_2.gr
greedy2,230,20,4,13,50500,make_ravasz_barabasi_5_2.gr
greedy2,231,24,2,61,76300,make_ravasz_barabasi_6_2.gr
greedy2,232,24,3,41,62400,make_ravasz_barabasi_6_2.gr
greedy2,233,24,4,25,40800,make_ravasz_barabasi_6_2.gr
greedy2,234,40,2,100,83300,make_ravasz_barabasi_5_3.gr
greedy2,235,40,3,66,68100,make_ravasz_barabasi_5_3.gr
greedy2,236,40,4,38,85100,make_ravasz_barabasi_5_3.gr
greedy2,237,48,2,144,124900,make_ravasz_barabasi_6_3.gr
greedy2,238,48,3,102,107000,make_ravasz_barabasi_6_3.gr
greedy2,239,48,4,66,103500,make_ravasz_barabasi_6_3.gr
greedy2,240,52,2,553,201700,barbell_25_2.gr
greedy2,241,52,3,506,296400,barbell_25_2.gr
greedy2,242,52,4,462,171200,barbell_25_2.gr
greedy2,243,62,2,813,238400,barbell_30_2.gr
greedy2,244,62,3,756,214800,barbell_30_2.gr
greedy2,245,62,4,702,214500,barbell_30_2.gr
greedy2,246,53,2,552,249600,barbell_25_3.gr
greedy2,247,53,3,506,145100,barbell_25_3.gr
greedy2,248,53,4,462,154600,barbell_25_3.gr
greedy2,249,63,2,812,244300,barbell_30_3.gr
greedy2,250,63,3,756,204100,barbell_30_3.gr
greedy2,251,63,4,702,225800,barbell_30_3.gr
greedy2,252,49,2,552,178100,windmill_25_2.gr
greedy2,253,49,3,506,132000,windmill_25_2.gr
greedy2,254,49,4,462,129300,windmill_25_2.gr
greedy2,255,59,2,812,229500,windmill_30_2.gr
greedy2,256,59,3,756,273600,windmill_30_2.gr
greedy2,257,59,4,702,188500,windmill_30_2.gr
greedy2,258,73,2,828,227300,windmill_25_3.gr
greedy2,259,73,3,759,237900,windmill_25_3.gr
greedy2,260,73,4,693,259400,windmill_25_3.gr
greedy2,261,88,2,1218,399800,windmill_30_3.gr
greedy2,262,88,3,1134,360400,windmill_30_3.gr
greedy2,263,88,4,1053,379000,windmill_30_3.gr
greedy2,264,53,2,77,92700,apollonian_50.gr
greedy2,265,53,3,25,78600,apollonian_50.gr
greedy2,266,53,4,0,88700,apollonian_50.gr
greedy2,267,58,2,85,135800,apollonian_55.gr
greedy2,268,58,3,28,91000,apollonian_55.gr
greedy2,269,58,4,0,129800,apollonian_55.gr
greedy2,270,63,2,91,142900,apollonian_60.gr
greedy2,271,63,3,30,120300,apollonian_60.gr
greedy2,272,63,4,0,110500,apollonian_60.gr
greedy2,273,68,2,97,151600,apollonian_65.gr
greedy2,274,68,3,31,144800,apollonian_65.gr
greedy2,275,68,4,0,129200,apollonian_65.gr
greedy2,276,100,2,1201,735800,make_ravasz_barabasi_25_2.gr
greedy2,277,100,3,1105,499900,make_ravasz_barabasi_25_2.gr
greedy2,278,100,4,1013,462400,make_ravasz_barabasi_25_2.gr
greedy2,279,120,2,1741,845400,make_ravasz_barabasi_30_2.gr
greedy2,280,120,3,1625,432800,make_ravasz_barabasi_30_2.gr
greedy2,281,120,4,1513,387400,make_ravasz_barabasi_30_2.gr
greedy2,282,200,2,2500,1065800,make_ravasz_barabasi_25_3.gr
greedy2,283,200,3,2306,708900,make_ravasz_barabasi_25_3.gr
greedy2,284,200,4,2118,685500,make_ravasz_barabasi_25_3.gr
greedy2,285,240,2,3600,1321800,make_ravasz_barabasi_30_3.gr
greedy2,286,240,3,3366,696300,make_ravasz_barabasi_30_3.gr
greedy2,287,240,4,3138,722100,make_ravasz_barabasi_30_3.gr
greedy3,288,12,2,8,1954100,barbell_5_2.gr
greedy3,289,12,3,4,5848800,barbell_5_2.gr
greedy3,290,12,4,2,2105600,barbell_5_2.gr
greedy3,291,14,2,12,2042700,barbell_6_2.gr
greedy3,292,14,3,6,3344900,barbell_6_2.gr
greedy3,293,14,4,4,4330500,barbell_6_2.gr
greedy3,294,13,2,8,1601000,barbell_5_3.gr
greedy3,295,13,3,4,2299000,barbell_5_3.gr
greedy3,296,13,4,2,3345300,barbell_5_3.gr
greedy3,297,15,2,12,2920500,barbell_6_3.gr
greedy3,298,15,3,6,3782900,barbell_6_3.gr
greedy3,299,15,4,4,5420600,barbell_6_3.gr
greedy3,300,9,2,8,493100,windmill_5_2.gr
greedy3,301,9,3,4,706600,windmill_5_2.gr
greedy3,302,9,4,2,1111500,windmill_5_2.gr
greedy3,303,11,2,12,638400,windmill_6_2.gr
greedy3,304,11,3,6,985700,windmill_6_2.gr
greedy3,305,11,4,4,1358900,windmill_6_2.gr
greedy3,306,13,2,12,920800,windmill_5_3.gr
greedy3,307,13,3,6,1219100,windmill_5_3.gr
greedy3,308,13,4,3,1613600,windmill_5_3.gr
greedy3,309,16,2,18,2781600,windmill_6_3.gr
greedy3,310,16,3,9,2885500,windmill_6_3.gr
greedy3,311,16,4,6,4144000,windmill_6_3.gr
greedy3,312,5,2,3,138000,apollonian_2.gr
greedy3,313,5,3,1,184700,apollonian_2.gr
greedy3,314,5,4,0,81400,apollonian_2.gr
greedy3,315,6,2,4,228800,apollonian_3.gr
greedy3,316,6,3,1,206700,apollonian_3.gr
greedy3,317,6,4,0,45700,apollonian_3.gr
greedy3,318,7,2,5,175800,apollonian_4.gr
greedy3,319,7,3,2,257000,apollonian_4.gr
greedy3,320,7,4,0,69900,apollonian_4.gr
greedy3,321,8,2,6,280900,apollonian_5.gr
greedy3,322,8,3,2,635600,apollonian_5.gr
greedy3,323,8,4,0,86000,apollonian_5.gr
greedy3,324,20,2,24,4121000,make_ravasz_barabasi_5_2.gr
greedy3,325,20,3,12,6947500,make_ravasz_barabasi_5_2.gr
greedy3,326,20,4,7,9221400,make_ravasz_barabasi_5_2.gr
greedy3,327,24,2,35,8759200,make_ravasz_barabasi_6_2.gr
greedy3,328,24,3,19,11620100,make_ravasz_barabasi_6_2.gr
greedy3,329,24,4,11,14583800,make_ravasz_barabasi_6_2.gr
greedy3,330,40,2,55,34600600,make_ravasz_barabasi_5_3.gr
greedy3,331,40,3,27,44389700,make_ravasz_barabasi_5_3.gr
greedy3,332,40,4,17,53576700,make_ravasz_barabasi_5_3.gr
greedy3,333,48,2,79,53293500,make_ravasz_barabasi_6_3.gr
greedy3,334,48,3,42,76337100,make_ravasz_barabasi_6_3.gr
greedy3,335,48,4,26,98845600,make_ravasz_barabasi_6_3.gr
greedy3,336,52,2,288,124270700,barbell_25_2.gr
greedy3,337,52,3,184,177718700,barbell_25_2.gr
greedy3,338,52,4,132,203280500,barbell_25_2.gr
greedy3,339,62,2,420,208810800,barbell_30_2.gr
greedy3,340,62,3,270,308512300,barbell_30_2.gr
greedy3,341,62,4,196,413490100,barbell_30_2.gr
greedy3,342,53,2,288,108539200,barbell_25_3.gr
greedy3,343,53,3,184,169951300,barbell_25_3.gr
greedy3,344,53,4,132,214495900,barbell_25_3.gr
greedy3,345,63,2,420,214350100,barbell_30_3.gr
greedy3,346,63,3,270,325549500,barbell_30_3.gr
greedy3,347,63,4,196,420893900,barbell_30_3.gr
greedy3,348,49,2,288,85457400,windmill_25_2.gr
greedy3,349,49,3,184,124343500,windmill_25_2.gr
greedy3,350,49,4,132,162462600,windmill_25_2.gr
greedy3,351,59,2,420,168816200,windmill_30_2.gr
greedy3,352,59,3,270,250865800,windmill_30_2.gr
greedy3,353,59,4,196,336235000,windmill_30_2.gr
greedy3,354,73,2,432,271239600,windmill_25_3.gr
greedy3,355,73,3,276,410639100,windmill_25_3.gr
greedy3,356,73,4,198,535286900,windmill_25_3.gr
greedy3,357,88,2,630,583411100,windmill_30_3.gr
greedy3,358,88,3,405,851261100,windmill_30_3.gr
greedy3,359,88,4,294,1139281300,windmill_30_3.gr
greedy3,360,53,2,51,36199000,apollonian_50.gr
greedy3,361,53,3,20,53626400,apollonian_50.gr
greedy3,362,53,4,0,1492800,apollonian_50.gr
greedy3,363,58,2,56,47202900,apollonian_55.gr
greedy3,364,58,3,22,70601300,apollonian_55.gr
greedy3,365,58,4,0,2050600,apollonian_55.gr
greedy3,366,63,2,61,58963200,apollonian_60.gr
greedy3,367,63,3,22,94392700,apollonian_60.gr
greedy3,368,63,4,0,2122800,apollonian_60.gr
greedy3,369,68,2,66,66431500,apollonian_65.gr
greedy3,370,68,3,25,101363200,apollonian_65.gr
greedy3,371,68,4,0,2248300,apollonian_65.gr
greedy3,372,100,2,624,777865600,make_ravasz_barabasi_25_2.gr
greedy3,373,100,3,399,1140596600,make_ravasz_barabasi_25_2.gr
greedy3,374,100,4,287,1530164900,make_ravasz_barabasi_25_2.gr
greedy3,375,120,2,899,1618121100,make_ravasz_barabasi_30_2.gr
greedy3,376,120,3,579,2430861000,make_ravasz_barabasi_30_2.gr
greedy3,377,120,4,419,3399715800,make_ravasz_barabasi_30_2.gr
greedy3,378,200,2,1295,7439973600,make_ravasz_barabasi_25_3.gr
greedy3,379,200,3,827,11423937500,make_ravasz_barabasi_25_3.gr
greedy3,380,200,4,594,14871168300,make_ravasz_barabasi_25_3.gr
greedy3,381,240,2,1855,16195018700,make_ravasz_barabasi_30_3.gr
greedy3,382,240,3,1194,26014973000,make_ravasz_barabasi_30_3.gr
greedy3,383,240,4,863,29667673800,make_ravasz_barabasi_30_3.gr
